transaction_id,amount,hour,day_of_week,merchant_category,distance_from_home_km,transactions_last_1hr,is_international,card_age_months,is_fraud
TXN100246,1330.28,18,Fri,grocery,14.4,0,0,44,0
TXN100247,2808.84,10,Fri,healthcare,9.37,0,0,91,0
TXN100248,2026.41,9,Fri,healthcare,1.06,0,0,104,0
TXN100249,1444.36,17,Mon,online_shopping,5.34,1,0,70,0
TXN100250,1123.38,18,Wed,restaurant,4.78,1,0,104,0
TXN100251,2220.88,19,Thu,restaurant,7.29,0,0,33,0
TXN100252,811.64,20,Mon,online_shopping,18.36,0,0,61,0
TXN100253,1723.8,11,Wed,travel,13.16,1,0,67,0
TXN100254,2005.18,8,Fri,utilities,6.41,0,0,94,0
TXN100255,1692.37,17,Mon,travel,3.02,0,0,21,0
TXN100256,1565.96,8,Sat,fuel,16.45,1,0,104,0
TXN100257,2305.5,13,Sun,online_shopping,4.05,0,0,24,0
TXN100258,749.4,18,Wed,grocery,1.21,1,0,104,0
TXN100259,919.44,20,Sun,restaurant,13.87,0,0,104,0
TXN100260,5568.06,10,Wed,grocery,0.21,0,0,23,0
TXN100261,1019.71,15,Wed,grocery,8.04,0,0,117,0
TXN100262,2043.82,9,Tue,fuel,1.33,0,0,30,0
TXN100263,3109.53,11,Fri,online_shopping,2.07,0,0,66,0
TXN100264,560.21,18,Sun,fuel,10.74,0,0,93,0
TXN100265,1746.68,12,Wed,healthcare,8.12,1,0,65,0
TXN100266,943.48,17,Wed,utilities,16.72,0,0,11,0
TXN100267,1297.57,17,Mon,atm,11.09,0,0,98,0
TXN100268,1429.82,21,Fri,fuel,16.47,0,0,24,0
TXN100269,2884.72,11,Sun,grocery,6.58,0,0,100,0
TXN100270,1007.27,13,Mon,atm,2.49,0,0,40,0
TXN100271,822.72,18,Mon,restaurant,2.65,0,0,119,0
TXN100272,1227.91,21,Thu,atm,29.43,0,0,91,0
TXN100273,1168.45,10,Tue,online_shopping,11.85,1,0,33,0
TXN100274,808.25,17,Wed,utilities,10.73,0,0,56,0
TXN100275,1038.11,9,Fri,utilities,17.52,0,0,97,0
TXN100276,1405.28,9,Tue,restaurant,57.18,0,0,98,0
TXN100277,1107.29,11,Fri,online_shopping,18.38,0,0,80,0
TXN100278,934.05,15,Sun,atm,3.64,2,0,112,0
TXN100279,1222.3,8,Mon,grocery,0.8,1,0,108,0
TXN100280,1204.21,16,Mon,utilities,10.88,2,0,114,0
TXN100281,1286.93,8,Thu,travel,7.52,0,0,35,0
TXN100282,907.27,9,Sun,online_shopping,1.49,0,0,117,0
TXN100283,619.94,8,Tue,fuel,4.13,0,0,55,0
TXN100284,982.64,12,Fri,fuel,0.57,0,0,82,0
TXN100285,1386.1,14,Tue,grocery,11.22,0,0,106,0
TXN100286,4277.99,11,Sat,online_shopping,16.74,2,0,35,0
TXN100287,816.16,21,Tue,online_shopping,0.7,0,0,21,0
TXN100288,612.01,21,Tue,atm,12.52,0,0,61,0
TXN100289,2916.68,20,Wed,restaurant,1.35,0,0,65,0
TXN100290,2972.15,16,Thu,online_shopping,1.49,1,0,60,0
TXN100291,1638.55,9,Sun,travel,0.51,0,0,99,0
TXN100292,2558.68,18,Sat,grocery,11.79,0,0,55,0
TXN100293,788.61,15,Sun,restaurant,9.67,0,0,70,0
TXN100294,1091.6,9,Sun,restaurant,3.58,1,0,30,0
TXN100295,571.46,14,Thu,atm,7.38,0,0,10,0
TXN100296,1324.22,17,Thu,atm,16.07,0,0,34,0
TXN100297,708.67,16,Wed,restaurant,2.93,1,0,106,0
TXN100298,711.47,19,Tue,online_shopping,1.45,0,0,108,0
TXN100299,2722.2,18,Sat,online_shopping,4.24,1,0,21,0
TXN100300,940.11,16,Sun,grocery,1.94,1,0,101,0
TXN100301,888.8,15,Sun,online_shopping,1.36,0,0,72,0
TXN100302,514.8,17,Wed,utilities,6.28,0,0,68,0
TXN100303,3724.05,19,Wed,fuel,1.07,0,0,95,0
TXN100304,1977.14,10,Wed,grocery,9.5,0,0,70,0
TXN100305,471.29,14,Sat,fuel,1.27,0,0,25,0
TXN100306,6617.58,8,Wed,restaurant,4.05,1,0,111,0
TXN100307,2785.92,20,Sat,healthcare,1.09,1,0,68,0
TXN100308,807.67,15,Mon,fuel,6.08,0,0,74,0
TXN100309,786.92,13,Fri,online_shopping,11.96,0,0,70,0
TXN100310,931.02,18,Tue,healthcare,4.72,0,0,80,0
TXN100311,3682.73,21,Sun,online_shopping,2.7,0,0,18,0
TXN100312,1095.61,14,Sun,fuel,11.95,1,0,20,0
TXN100313,871.61,8,Mon,online_shopping,0.22,0,0,13,0
TXN100314,1209.85,17,Thu,atm,21.03,1,0,41,0
TXN100315,2928.5,17,Thu,restaurant,3.32,1,0,25,0
TXN100316,2710.34,21,Wed,atm,15.71,0,0,49,0
TXN100317,819.61,15,Fri,fuel,8.09,0,0,62,0
TXN100318,1709.52,10,Sat,online_shopping,7.33,0,0,6,0
TXN100319,1557.61,18,Wed,grocery,3.31,0,0,118,0
TXN100320,980.64,20,Sun,online_shopping,9.41,2,0,85,0
TXN100321,524.6,13,Mon,utilities,1.34,0,0,45,0
TXN100322,3277.69,15,Sun,grocery,0.91,0,0,25,0
TXN100323,979.72,14,Sat,fuel,9.17,0,0,60,0
TXN100324,1818.56,20,Fri,online_shopping,4.57,0,0,56,0
TXN100325,1005.63,9,Wed,online_shopping,0.14,0,0,101,0
TXN100326,1489.99,14,Sun,online_shopping,0.14,0,1,52,0
TXN100327,1304.57,10,Sun,fuel,11.9,0,0,9,0
TXN100328,934.73,17,Sat,fuel,5.51,0,1,52,0
TXN100329,2014.84,20,Mon,grocery,1.6,0,0,73,0
TXN100330,826.58,10,Tue,online_shopping,8.92,2,0,40,0
TXN100331,936.39,10,Thu,online_shopping,1.75,1,0,74,0
TXN100332,792.19,16,Thu,atm,1.49,0,1,68,0
TXN100333,1565.45,18,Fri,fuel,7.7,1,0,30,0
TXN100334,881.56,21,Thu,travel,3.16,1,0,104,0
TXN100335,910.14,8,Fri,grocery,6.96,0,0,50,0
TXN100336,798.23,11,Thu,online_shopping,3.09,0,0,27,0
TXN100337,920.59,10,Thu,restaurant,13.81,0,0,46,0
TXN100338,1657.0,17,Mon,online_shopping,7.55,2,0,51,0
TXN100339,1362.24,17,Sat,restaurant,0.09,1,0,114,0
TXN100340,1283.48,10,Mon,online_shopping,3.88,0,0,113,0
TXN100341,2064.14,11,Thu,online_shopping,10.85,1,0,67,0
TXN100342,1083.77,15,Fri,grocery,9.16,0,1,13,0
TXN100343,861.21,17,Sat,grocery,4.62,0,0,34,0
TXN100344,1121.83,18,Tue,online_shopping,2.19,0,0,42,0
TXN100345,875.33,12,Sat,healthcare,7.19,0,0,31,0
TXN100346,1279.26,18,Mon,atm,5.62,0,0,44,0
TXN100347,1159.8,13,Mon,healthcare,0.53,1,0,63,0
TXN100348,1481.73,9,Wed,online_shopping,3.25,1,0,43,0
TXN100349,1906.17,17,Sat,online_shopping,41.56,1,1,107,0
TXN100350,1254.34,9,Tue,fuel,7.12,0,0,26,0
TXN100351,802.37,21,Sat,grocery,5.89,1,0,83,0
TXN100352,1348.42,14,Fri,atm,0.71,0,0,75,0
TXN100353,1609.53,8,Sat,grocery,11.25,0,0,113,0
TXN100354,3030.41,14,Tue,fuel,15.67,0,0,115,0
TXN100355,1709.9,12,Fri,travel,0.33,0,0,54,0
TXN100356,948.66,10,Sun,online_shopping,3.53,1,0,103,0
TXN100357,1259.94,12,Fri,restaurant,11.42,0,0,46,0
TXN100358,2769.97,14,Mon,restaurant,11.45,0,0,76,0
TXN100359,1082.65,13,Thu,healthcare,20.89,1,0,51,0
TXN100360,1913.79,13,Tue,restaurant,12.95,0,0,118,0
TXN100361,689.38,8,Thu,grocery,1.65,0,0,26,0
TXN100362,855.59,15,Tue,grocery,0.66,0,0,101,0
TXN100363,1824.8,12,Sat,atm,10.81,1,0,37,0
TXN100364,1242.23,16,Sat,grocery,2.11,0,0,114,0
TXN100365,651.64,19,Wed,travel,9.22,0,0,114,0
TXN100366,3335.39,21,Fri,online_shopping,10.93,0,0,33,0
TXN100367,1817.67,19,Sun,restaurant,3.35,1,0,86,0
TXN100368,2254.37,12,Tue,grocery,1.7,0,0,119,0
TXN100369,338.17,19,Sun,grocery,3.35,1,0,41,0
TXN100370,2165.3,12,Mon,fuel,9.14,0,0,80,0
TXN100371,1887.2,21,Sat,grocery,7.42,0,0,49,0
TXN100372,1562.22,9,Sun,online_shopping,1.69,2,0,16,0
TXN100373,1109.97,13,Sun,restaurant,3.44,1,0,79,0
TXN100374,1353.54,13,Sun,restaurant,1.21,0,0,47,0
TXN100375,1363.04,11,Sun,atm,37.7,0,0,105,0
TXN100376,1388.62,18,Fri,fuel,2.04,1,0,115,0
TXN100377,772.93,10,Fri,utilities,4.43,0,0,90,0
TXN100378,2378.54,11,Tue,online_shopping,3.41,1,0,16,0
TXN100379,928.81,15,Fri,grocery,7.09,0,0,81,0
TXN100380,1114.27,11,Sat,grocery,15.04,1,0,115,0
TXN100381,1862.09,14,Sun,fuel,17.22,0,0,87,0
TXN100382,3229.21,9,Sun,utilities,10.4,1,0,21,0
TXN100383,1085.22,18,Sat,grocery,4.33,0,0,96,0
TXN100384,1470.12,15,Wed,restaurant,14.56,1,0,113,0
TXN100385,458.57,15,Tue,restaurant,5.28,1,0,92,0
TXN100386,628.94,17,Tue,utilities,2.99,0,0,71,0
TXN100387,1337.85,14,Sat,restaurant,13.63,2,0,77,0
TXN100388,2298.99,19,Wed,utilities,9.97,0,0,98,0
TXN100389,2203.42,20,Mon,restaurant,5.89,1,0,43,0
TXN100390,3660.15,14,Fri,grocery,2.17,1,0,79,0
TXN100391,2490.98,16,Sat,utilities,0.53,0,0,35,0
TXN100392,11379.06,23,Sat,online_shopping,490.71,4,1,2,1
TXN100393,609.17,17,Tue,online_shopping,3.42,2,0,52,0
TXN100394,817.65,10,Thu,fuel,4.4,1,0,91,0
TXN100395,519.32,13,Tue,restaurant,12.65,0,0,10,0
TXN100396,834.91,16,Fri,travel,8.53,1,0,68,0
TXN100397,1251.08,15,Thu,utilities,15.37,0,0,16,0
TXN100398,1874.66,1,Sun,online_shopping,342.97,7,1,34,1
TXN100399,870.11,19,Sat,grocery,0.96,1,0,39,0
TXN100400,1077.84,20,Mon,utilities,13.8,0,0,106,0
TXN100401,1072.18,21,Fri,fuel,1.23,0,0,82,0
TXN100402,1073.49,8,Wed,utilities,4.81,0,0,34,0
TXN100403,870.9,17,Wed,restaurant,4.61,0,0,104,0
TXN100404,1401.92,11,Thu,restaurant,1.11,1,0,77,0
TXN100405,583.12,11,Mon,grocery,2.58,1,0,42,0
TXN100406,657.56,14,Fri,utilities,7.1,1,0,83,0
TXN100407,4846.18,17,Wed,online_shopping,27.54,0,0,83,0
TXN100408,284.03,15,Tue,online_shopping,27.26,0,0,65,0
TXN100409,626.39,20,Fri,utilities,5.99,0,0,8,0
TXN100410,1836.32,9,Tue,utilities,27.92,0,0,58,0
TXN100411,593.49,10,Mon,healthcare,1.0,2,0,50,0
TXN100412,1055.87,20,Mon,grocery,0.67,1,0,35,0
TXN100413,1909.69,19,Fri,grocery,1.12,1,0,36,0
TXN100414,1467.95,15,Sat,grocery,15.3,1,0,22,0
TXN100415,1360.15,10,Wed,restaurant,5.34,0,0,49,0
TXN100416,3141.3,18,Thu,restaurant,2.74,1,0,84,0
TXN100417,893.4,16,Fri,online_shopping,7.47,0,0,113,0
